Coding,Web Development,Game Development,Cybersecurity,Data Science,Mobile Development,Cloud Computing,AI & Machine Learning,Physical Games / Sports,predicted_domain
1,0,1,0,0,0,0,0,0,Coding
5,0,2,0,0,0,0,0,0,Coding
1,0,2,0,0,0,0,0,0,Game Development
1,0,1,0,0,0,0,0,0,Coding
2,0,2,0,2,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
3,2,2,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
4,0,1,0,0,0,0,0,0,Coding
5,0,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
4,2,4,0,0,0,0,0,0,Coding
5,0,1,0,0,0,0,0,0,Coding
5,0,4,0,0,0,0,0,0,Coding
4,2,2,0,0,0,0,0,0,Coding
3,0,2,0,0,0,0,0,0,Coding
5,0,2,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
2,0,2,0,0,0,0,0,0,Coding
3,0,1,0,0,0,0,0,0,Coding
1,0,0,0,0,0,0,0,0,Coding
4,2,2,0,0,0,0,0,0,Coding
5,0,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
1,0,2,0,0,0,0,0,0,Game Development
5,0,4,0,0,0,0,0,0,Coding
4,2,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
3,2,1,0,0,0,0,0,0,Coding
1,0,0,0,0,0,0,0,0,Coding
4,0,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
5,0,2,0,0,0,0,0,0,Coding
4,0,1,0,0,0,0,0,0,Coding
5,0,2,0,0,0,0,0,0,Coding
2,0,1,0,2,0,0,0,0,Coding
2,0,2,0,0,0,0,0,0,Coding
5,0,1,0,0,0,0,0,0,Coding
3,0,0,0,0,0,0,0,0,Coding
0,0,1,0,0,0,0,0,0,Game Development
3,2,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
4,0,0,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
1,0,0,0,2,0,0,0,0,Data Science
5,0,0,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
1,0,2,0,0,0,0,0,0,Game Development
2,0,1,0,0,0,0,0,0,Coding
3,0,4,0,0,0,0,0,0,Game Development
1,0,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
2,0,2,0,0,0,0,0,0,Coding
1,0,0,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
3,0,4,0,0,0,0,0,0,Game Development
1,0,0,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
2,0,2,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
2,0,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
1,0,1,0,0,0,0,0,0,Coding
1,0,2,0,0,0,0,0,0,Game Development
1,0,1,0,0,0,0,0,0,Coding
2,0,2,0,0,0,0,0,0,Coding
1,0,2,0,0,0,0,0,0,Game Development
2,0,1,0,0,0,0,0,0,Coding
1,0,4,0,0,0,0,0,0,Game Development
